nodeID,nodetype,lat,lon
11729264201,restaurant,40.7592516,-73.9624477
11729264202,restaurant,40.7593014,-73.9623856
11729272519,restaurant,40.7619444,-73.9600493
11729293078,clothes,40.7638749,-73.9724834
11730128243,restaurant,40.7839211,-73.9775152
11731171254,monument,40.7782927,-74.1738741
11731374568,clothes,40.7711425,-73.9615025
11731444670,restaurant,40.7707505,-73.9617952
11731646617,cafe,40.708053,-73.818263
11732162939,bakery,40.6984836,-73.8346872
11732162941,bank,40.6984591,-73.8341751
11732162947,restaurant,40.6982828,-73.8345612
11732202355,childcare,40.69595,-73.8470081
11732202358,place of worship,40.6953092,-73.843828
11732207176,childcare,40.6966744,-73.8470195
11732252028,restaurant,40.7448319,-73.91882
11732255289,restaurant,40.6990393,-73.8331573
11732297384,pharmacy,40.7051221,-73.8289564
11732423462,restaurant,40.7444161,-73.915329
11732795498,restaurant,40.74455,-73.9107994
11734409650,restaurant,40.7412524,-73.9937682
11734474015,restaurant,40.7428769,-73.9931922
11734638955,furniture,40.7393532,-73.9898842
11734648510,restaurant,40.7406439,-73.9929501
11734649609,furniture,40.7396979,-73.9906711
11735005069,bakery,40.597979,-74.1812152
11735005071,furniture,40.5977305,-74.1815609
11735005072,clothes,40.5976053,-74.1817352
11735005116,convenience,40.5977071,-74.1823918
11735005120,clothes,40.597446,-74.1820682
11735005121,deli,40.5973761,-74.1819828
11735005122,clothes,40.5972974,-74.1825347
11735228974,restaurant,40.7936415,-73.9721751
11736720370,cafe,40.7631664,-73.972521
11736908591,cafe,40.748843,-73.9424279
11736921957,bakery,40.7518,-73.938544
11736925169,restaurant,40.7520717,-73.9390626
11737247196,cafe,40.7533337,-73.9401448
11737350713,library,40.7440823,-73.9339644
11737576669,restaurant,40.7636802,-73.9885247
11737903614,restaurant,40.7481389,-73.9400703
11738012197,cafe,40.7258776,-74.0036174
11738086069,restaurant,40.7346089,-73.9978963
11738088869,grocery,40.7350524,-73.9982174
11738266638,clothes,40.7833108,-73.9800404
11738266640,cafe,40.783395,-73.9799783
11738335249,cafe,40.7810607,-73.976365
11738970500,pharmacy,40.7161356,-73.9983132
11738972189,restaurant,40.7161895,-73.998278
11739055903,cafe,40.7257767,-74.0055352
11739055904,restaurant,40.7255235,-74.0053247
11739272854,bakery,40.5879643,-73.9558706
11739272855,post office,40.5879553,-73.9558514
11739272856,restaurant,40.5879477,-73.9557962
11739392410,cafe,40.7486632,-73.9401364
